name,type,level_rank,race,attribute,atk,def
Lord Gaia the Fierce Knight,Effect Monster,7,Warrior,EARTH,2300,2100
Meklord Army of Skiel,Effect Monster,4,Machine,WIND,1200,1000
Blackwing - Brisote the Tailwind,Effect Monster,5,Winged Beast,DARK,1200,1800
Melomelody the Brass Djinn,XYZ Monster,3,Fiend,LIGHT,1400,1600
Deepsea Macrotrema,Effect Monster,1,Fish,WATER,600,100
Makyura the Destructor,Effect Monster,4,Warrior,DARK,1600,1200
Winda Priestess of Gusto,Effect Monster,2,Psychic,WIND,1000,400
Jinzo - Returner,Effect Monster,3,Machine,DARK,600,1400
Dragon Manipulator,Flip Effect Monster,3,Warrior,EARTH,700,800
Junk Changer,Tuner Monster,3,Warrior,EARTH,1500,900
Totem Bird,XYZ Monster,3,Winged Beast,WIND,1900,1400
Infernal Dragon,Effect Monster,4,Dragon,DARK,2000,0
Starship Spy Plane,Effect Monster,4,Machine,WIND,1100,500
Road Warrior,Synchro Monster,8,Warrior,LIGHT,3000,1500
Overlay Owl,Effect Monster,4,Winged Beast,WIND,800,1600
Birdface,Effect Monster,4,Winged Beast,WIND,1600,1600
Souleater,Normal Monster,4,Fish,EARTH,1200,0
Armed Ninja,Flip Effect Monster,1,Warrior,EARTH,300,300
Bi an Earth of the Yang Zing,Effect Monster,3,Wyrm,EARTH,1600,0
El Shaddoll Shekhinaga,Fusion Monster,10,Machine,EARTH,2600,3000
Penguin Knight,Effect Monster,3,Aqua,WATER,900,800
Evoltile Pleuro,Effect Monster,1,Reptile,FIRE,200,200
Metalfoes Silverd,Pendulum Normal Monster,3,Psychic,FIRE,1700,100
The Gross Ghost of Fled Dreams,Normal Monster,4,Fiend,DARK,1300,1800
Mythical Beast Cerberus,Effect Monster,4,Spellcaster,LIGHT,1400,1400
Ryu-Kishin Powered,Normal Monster,4,Fiend,DARK,1600,1200
Charm of Shabti,Effect Monster,1,Rock,EARTH,100,100
Stellarknight Zefraxciton,Pendulum Effect Monster,4,Fiend,LIGHT,1900,0
Meda Bat,Normal Monster,2,Fiend,DARK,800,400
Phantom King Hydride,Tuner Monster,3,Fiend,DARK,1500,300
Hane-Hane,Flip Effect Monster,2,Beast,EARTH,450,500
Malice Doll of Demise,Effect Monster,4,Fiend,DARK,1600,1700
Block Golem,Effect Monster,3,Rock,EARTH,1000,1500
Criosphinx,Effect Monster,6,Rock,EARTH,1200,2400
The End of Anubis,Effect Monster,6,Fiend,DARK,2500,0
Empress of Prophecy,XYZ Monster,5,Spellcaster,LIGHT,2000,1700
Infernalqueen Archfiend,Effect Monster,4,Fiend,FIRE,900,1500
Stellarknight Constellar Diamond,XYZ Monster,5,Wyrm,LIGHT,2700,2000
Gatekeeper,Normal Monster,5,Machine,DARK,1500,1800
Geargiattacker,Effect Monster,4,Machine,EARTH,1900,100
Pilgrim Reaper,XYZ Monster,6,Zombie,DARK,0,0
Bone Mouse,Normal Monster,1,Zombie,DARK,400,300
Darklord Zerato,Effect Monster,8,Fairy,DARK,2800,2300
Tyler the Great Warrior,Effect Monster,8,Warrior,EARTH,3000,1500
Ally of Justice Core Destroyer,Effect Monster,3,Machine,DARK,1200,200
Jurrac Dino,Tuner Monster,3,Dinosaur,FIRE,1700,800
Gusto Thunbolt,Effect Monster,4,Thunder,WIND,1500,1200
The Agent of Wisdom - Mercury,Effect Monster,4,Fairy,LIGHT,0,1700
Vampire Grace,Effect Monster,6,Zombie,DARK,2000,1200
Lucky Pied Piper,Gemini Monster,4,Fairy,WIND,1500,500
Exxod Master of The Guard,Effect Monster,8,Rock,EARTH,0,4000
Uni-Zombie,Tuner Monster,3,Zombie,DARK,1300,0
Darksea Rescue,Effect Monster,1,Machine,DARK,0,0
White Magical Hat,Effect Monster,3,Spellcaster,LIGHT,1000,700
Blue-Eyes Ultimate Dragon,Fusion Monster,12,Dragon,LIGHT,4500,3800
Brotherhood of the Fire Fist - Coyote,Effect Monster,5,Beast-Warrior,FIRE,2000,500
Divine Dragon Aquabizarre,Effect Monster,5,Sea Serpent,WATER,2100,1500
The Judgement Hand,Normal Monster,3,Warrior,EARTH,1400,700
Spear Shark,Effect Monster,4,Fish,WATER,1600,1400
Pandora s Jewelry Box,Pendulum Effect Monster,4,Wyrm,DARK,1500,1500
Genomix Fighter,Tuner Monster,6,Psychic,WIND,2200,1100
Masked Clown,Normal Monster,2,Warrior,DARK,500,700
Weather Control,Normal Monster,2,Fairy,LIGHT,600,400
Ancient Sacred Wyvern,Synchro Monster,7,Fairy,LIGHT,2100,2000
Bujin Arasuda,Effect Monster,4,Beast-Warrior,LIGHT,1600,1900
Jurrac Guaiba,Effect Monster,4,Dinosaur,FIRE,1700,400
Darkbishop Archfiend,Effect Monster,3,Fiend,WATER,300,1400
Grass Phantom,Effect Monster,3,Plant,WATER,1000,1000
Inzektor Giga-Weevil,Effect Monster,6,Insect,DARK,0,2600
Sylvan Hermitree,Effect Monster,8,Plant,FIRE,2700,1800
The Big Saturn,Effect Monster,8,Machine,DARK,2800,2200
Labradorite Dragon,Normal Tuner Monster,6,Dragon,DARK,0,2400
Speedroid Red-Eyed Dice,Tuner Monster,1,Machine,WIND,100,100
Jinzo 7,Effect Monster,2,Machine,DARK,500,400
Bio-Mage,Normal Monster,3,Fairy,LIGHT,1150,1000
Chamberlain of the Six Samurai,Normal Monster,3,Warrior,EARTH,200,2000
Two-Mouth Darkruler,Normal Monster,3,Dinosaur,EARTH,900,700
Invitation to a Dark Sleep,Effect Monster,5,Spellcaster,DARK,1500,1800
Yubel - The Ultimate Nightmare,Effect Monster,12,Fiend,DARK,0,0
Fishborg Launcher,Tuner Monster,1,Fish,WATER,200,100
Elemental HERO Sparkman,Normal Monster,4,Warrior,LIGHT,1600,1400
Dinomist Brachion,Pendulum Effect Monster,5,Machine,WATER,2000,800
Reborn Tengu,Effect Monster,4,Beast-Warrior,WIND,1700,600
Galaxy-Eyes Cloudragon,Effect Monster,1,Dragon,LIGHT,300,250
Amazoness Queen,Effect Monster,6,Warrior,EARTH,2400,1800
Tiger Axe,Normal Monster,4,Beast-Warrior,EARTH,1300,1100
Skull Mariner,Normal Monster,4,Warrior,WATER,1600,900
Big Eye,Flip Effect Monster,4,Fiend,DARK,1200,1000
Naturia Beast,Synchro Monster,5,Beast,EARTH,2200,1700
Curtain of the Dark Ones,Normal Monster,2,Spellcaster,DARK,600,500
Gravi-Crush Dragon,Effect Monster,6,Dragon,DARK,2400,1200
Boneheimer,Normal Monster,3,Aqua,WATER,850,400
Photon Caesar,Effect Monster,8,Warrior,LIGHT,2000,2800
Gladiator Beast Samnite,Effect Monster,3,Beast,EARTH,1600,1200
Substitoad,Effect Monster,1,Aqua,WATER,100,2000
Mist Valley Soldier,Tuner Monster,4,Winged Beast,WIND,1700,300
Rose Spectre of Dunn,Fusion Monster,6,Plant,DARK,2000,1800
Darklord Nurse Reficule,Effect Monster,4,Fairy,DARK,1400,600
Gem-Knight Amber,Gemini Monster,4,Thunder,EARTH,1600,1400
A-to-Z-Dragon Buster Cannon,Fusion Monster,10,Machine,LIGHT,4000,4000
Black Ray Lancer,XYZ Monster,3,Beast-Warrior,DARK,2100,600
Yosenju Magat,Effect Monster,6,Beast,WIND,2000,100
Evilswarm Nightmare,XYZ Monster,4,Fiend,DARK,950,1950
Stinging Swordsman,Effect Monster,1,Warrior,WIND,300,600
Duck Fighter,Effect Monster,3,Machine,WIND,1300,1400
Neo Flamvell Garuda,Effect Monster,3,Pyro,FIRE,1200,1800
HTS Psyhemuth,Synchro Monster,6,Psychic,EARTH,2400,1800
Sylvan Lotuswain,Effect Monster,5,Plant,WATER,2300,1100
Totem Dragon,Effect Monster,2,Dragon,EARTH,400,200
Twilight Ninja Nichirin the Chunin,Effect Monster,6,Warrior,DARK,2300,1000
PSY-Frame Multi-Threader,Effect Monster,6,Psychic,LIGHT,0,2500
Junkuriboh,Effect Monster,1,Machine,EARTH,300,200
True King Lithosagym the Disaster,Effect Monster,9,Wyrm,EARTH,2500,2300
Karate Man,Effect Monster,3,Warrior,EARTH,1000,1000
Destiny End Dragoon,Fusion Monster,10,Warrior,DARK,3000,3000
Phantom Magician,Effect Monster,3,Spellcaster,DARK,600,700
Evilswarm Salamandra,Effect Monster,4,Dinosaur,DARK,1850,950
Cyberdarkness Dragon,Fusion Monster,10,Machine,DARK,2000,2000
Gishki Avance,Effect Monster,4,Spellcaster,WATER,1500,800
Darknight Parshath,Effect Monster,5,Fairy,DARK,1900,1400
XX-Saber Gottoms,Synchro Monster,9,Beast-Warrior,EARTH,3100,2600
Neo Blue-Eyes Ultimate Dragon,Fusion Monster,12,Dragon,LIGHT,4500,3800
XX-Saber Garsem,Effect Monster,4,Beast,EARTH,1400,400
Stone Statue of the Aztecs,Effect Monster,4,Rock,EARTH,300,2000
Shapesnatch,Normal Monster,5,Machine,DARK,1200,1700
Nimble Momonga,Effect Monster,2,Beast,EARTH,1000,100
Steel Ogre Grotto 1,Normal Monster,5,Machine,EARTH,1400,1800
Cyber Prima,Effect Monster,6,Warrior,LIGHT,2300,1600
Masked HERO Anki,Fusion Monster,8,Warrior,DARK,2800,1200
Alien Hunter,Effect Monster,4,Reptile,WATER,1600,800
Invoked Mechaba,Fusion Monster,9,Machine,LIGHT,2500,2100
Fluffal Wings,Effect Monster,1,Fairy,LIGHT,100,100
Bujingi Fox,Effect Monster,4,Beast,LIGHT,200,2100
D.D. Sprite,Tuner Monster,1,Fairy,LIGHT,0,100
Star Boy,Effect Monster,2,Aqua,WATER,550,500
ZW - Ultimate Shield,Effect Monster,4,Aqua,EARTH,0,2000
D.D. Crow,Effect Monster,1,Winged Beast,DARK,100,100
Cryomancer of the Ice Barrier,Tuner Monster,2,Aqua,WATER,1300,0
Spiritual Beast Pettlephin,Effect Monster,4,Aqua,WIND,0,2000
Kaibaman,Effect Monster,3,Warrior,LIGHT,200,700
Ghostrick Witch,Effect Monster,2,Spellcaster,DARK,1200,200
Koa ki Meiru Hydro Barrier,Effect Monster,3,Aqua,WATER,1000,1900
Gemini Lancer,Gemini Monster,4,Sea Serpent,WATER,1800,1400
Condemned Maiden,Effect Monster,4,Fairy,LIGHT,100,2000
Gogogo Golem,Effect Monster,4,Rock,EARTH,1800,1500
Galaxy Tyranno,Effect Monster,8,Dinosaur,LIGHT,2000,0
Sharkraken,Effect Monster,6,Fish,WATER,2400,2100
Performapal Springoose,Effect Monster,5,Winged Beast,WIND,1100,2400
Meteor Dragon,Normal Monster,6,Dragon,EARTH,1800,2000
Zanki,Normal Monster,5,Warrior,EARTH,1500,1700
Sonic Warrior,Effect Monster,2,Warrior,WIND,1000,0
Nikitama,Spirit Monster,4,Fairy,LIGHT,800,1800
Mecha Phantom Beast Hamstrat,Effect Monster,3,Machine,WIND,1100,1600
Destiny HERO - Departed,Effect Monster,2,Warrior,DARK,1000,0
Performapal Sword Fish,Effect Monster,2,Fish,WATER,600,600
Harpie Dancer,Effect Monster,4,Winged Beast,WIND,1200,1000
Naturia Rock,Effect Monster,3,Rock,EARTH,1200,1200
Mystic Horseman,Normal Monster,4,Beast,EARTH,1300,1550
Doctor Cranium,Effect Monster,1,Psychic,EARTH,100,100
Karakuri Spider,Effect Monster,2,Machine,EARTH,400,500
Red-Eyes B. Dragon,Normal Monster,7,Dragon,DARK,2400,2000
Zombie Mammoth,Effect Monster,4,Zombie,EARTH,1900,0
Mefist the Infernal General,Effect Monster,5,Fiend,DARK,1800,1700
Jurrac Spinos,Effect Monster,7,Dinosaur,FIRE,2600,1700
Heroic Challenger - Assault Halberd,Effect Monster,4,Warrior,EARTH,1800,200
Frightfur Tiger,Fusion Monster,6,Fiend,DARK,1900,1200
Red-Eyes B. Dragon,Normal Monster,7,Dragon,DARK,2400,2000
Inzektor Centipede,Effect Monster,3,Insect,DARK,1600,1200
The Six Samurai - Yaichi,Effect Monster,3,Warrior,WATER,1300,800
Fluffal Cat,Effect Monster,1,Fairy,EARTH,700,300
Performapal Cheermole,Pendulum Effect Monster,2,Beast,EARTH,600,1000
Morphtronic Vacuumen,Effect Monster,1,Machine,WIND,0,0
Giant Soldier of Stone,Normal Monster,3,Rock,EARTH,1300,2000
Dread Dragon,Tuner Monster,2,Dragon,FIRE,1100,400
Deskbot 004,Effect Monster,4,Machine,EARTH,500,500
Windwitch - Snow Bell,Tuner Monster,1,Spellcaster,WIND,100,100
Grand Tiki Elder,Normal Monster,4,Fiend,DARK,1500,800
Shark Caesar,XYZ Monster,3,Fish,WATER,1800,2000
Magician s Rod,Effect Monster,3,Spellcaster,DARK,1600,100
The Blazing Mars,Effect Monster,8,Pyro,FIRE,2600,2200
Ghost Ship,Effect Monster,5,Fiend,LIGHT,1900,1000
Iron Blacksmith Kotetsu,Flip Effect Monster,2,Beast-Warrior,FIRE,500,500
Decoyroid,Effect Monster,2,Machine,WIND,300,500
Thestalos the Firestorm Monarch,Effect Monster,6,Pyro,FIRE,2400,1000
Rockstone Warrior,Effect Monster,4,Rock,EARTH,1800,1600
Genex Ally Chemistrer,Tuner Monster,2,Machine,DARK,200,500
Graydle Dragon,Synchro Monster,8,Aqua,WATER,3000,2000
Unknown Synchron,Tuner Monster,1,Machine,DARK,0,0
The Fabled Catsith,Tuner Monster,1,Beast,LIGHT,800,600
Allure Queen LV5,Effect Monster,5,Spellcaster,DARK,1000,1000
Exodia Necross,Effect Monster,4,Spellcaster,DARK,1800,0
Koalo-Koala,Fusion Monster,6,Beast,EARTH,2800,200
Herald of Perfection,Ritual Effect Monster,6,Fairy,LIGHT,1800,2800
Crimson Blader,Synchro Monster,8,Warrior,FIRE,2800,2600
Tatsunootoshigo,Normal Monster,5,Beast,EARTH,1350,1600
Y-Dragon Head,Union Effect Monster,4,Machine,LIGHT,1500,1600
Hieratic Sun Dragon Overlord of Heliopolis,XYZ Monster,8,Dragon,LIGHT,3000,2400
Stone Armadiller,Normal Monster,3,Rock,EARTH,800,1200
The 13th Grave,Normal Monster,3,Zombie,DARK,1200,900
Charubin the Fire Knight,Fusion Monster,3,Pyro,FIRE,1100,800
Madolche Butlerusk,Effect Monster,4,Spellcaster,EARTH,1500,800
Psychic Nightmare,Synchro Monster,6,Psychic,WIND,2400,1800
The Phantom Knights of Silent Boots,Effect Monster,3,Warrior,DARK,200,1200
Necro Gardna,Effect Monster,3,Warrior,DARK,600,1300
Obese Marmot of Nefariousness,Normal Monster,3,Beast,EARTH,750,800
Magician of Dark Illusion,Effect Monster,7,Spellcaster,DARK,2100,2500
Stardust Warrior,Synchro Monster,10,Warrior,WIND,3000,2500
Psychic Lifetrancer,Synchro Monster,7,Psychic,EARTH,2400,2000
Vylon Tetra,Tuner Monster,2,Machine,LIGHT,900,900
KA-2 Des Scissors,Effect Monster,4,Machine,DARK,1000,1000
Salvage Warrior,Effect Monster,5,Warrior,WATER,1900,1600
Zoodiac Boarbow,XYZ Monster,4,Beast-Warrior,EARTH,0,0
Ally of Justice Reverse Break,Effect Monster,4,Machine,DARK,1200,1200
Vylon Sigma,Synchro Monster,7,Fairy,LIGHT,1800,1000
Dinomist Pteran,Pendulum Effect Monster,4,Machine,WATER,1800,1200
Hitotsu-Me Giant,Normal Monster,4,Beast-Warrior,EARTH,1200,1000
Cu Chulainn the Awakened,Ritual Effect Monster,4,Warrior,LIGHT,500,1000
Gundari,Spirit Monster,4,Pyro,FIRE,1000,200
Armed Dragon LV10,Effect Monster,10,Dragon,WIND,3000,2000
Genex Turbine,Effect Monster,4,Machine,EARTH,1400,1300
Light Effigy,Effect Monster,4,Fairy,LIGHT,1500,0
Cyber Petit Angel,Effect Monster,2,Fairy,LIGHT,300,200
Phantom Beast Rock-Lizard,Effect Monster,7,Beast-Warrior,DARK,2200,2000
Fenrir the Nordic Wolf,Effect Monster,10,Beast,DARK,4000,4000
Infernoid Antra,Effect Monster,2,Fiend,FIRE,0,2000
Gaap the Divine Soldier,Effect Monster,6,Fiend,DARK,2200,2000
Blackwing - Vayu the Emblem of Honor,Tuner Monster,1,Winged Beast,DARK,800,0
Traptrix Nepenthes,Effect Monster,4,Plant,EARTH,800,2000
Lunalight Kaleido Chick,Effect Monster,4,Beast-Warrior,DARK,1400,800
Quillbolt Hedgehog,Effect Monster,2,Machine,EARTH,800,800
Fabled Topi,Effect Monster,1,Fiend,LIGHT,500,200
Red-Eyes Black Metal Dragon,Effect Monster,8,Machine,DARK,2800,2400
Muse-A,Normal Monster,3,Fairy,LIGHT,850,900
Edge Imp Frightfuloid,Effect Monster,4,Fiend,DARK,1300,1300
Vylon Disigma,XYZ Monster,4,Fairy,LIGHT,2500,2100
Neo-Spacian Dark Panther,Effect Monster,3,Beast,DARK,1000,500
Cyber Dragon,Effect Monster,5,Machine,LIGHT,2100,1600
Heroic Champion - Excalibur,XYZ Monster,4,Warrior,LIGHT,2000,2000
Odd-Eyes Dragon,Effect Monster,7,Dragon,DARK,2500,2000
Dark Cat with White Tail,Flip Effect Monster,2,Beast,EARTH,800,500
Fiend Kraken,Normal Monster,4,Aqua,WATER,1200,1400
Mazera DeVille,Effect Monster,8,Fiend,DARK,2800,2300
Genex Searcher,Effect Monster,4,Machine,EARTH,1600,400
Psi-Blocker,Effect Monster,4,Psychic,WIND,1200,300
Mecha Phantom Beast Kalgriffin,Effect Monster,7,Machine,WIND,1000,2500
Ghostrick Specter,Effect Monster,1,Fiend,DARK,600,0
Splendid Venus,Effect Monster,8,Fairy,LIGHT,2800,2400
Levia-Dragon - Daedalus,Effect Monster,7,Sea Serpent,WATER,2600,1500
Evigishki Mind Augus,Ritual Effect Monster,6,Aqua,WATER,2500,2000
Roboyarou,Normal Monster,3,Machine,EARTH,900,450
Carrierroid,Effect Monster,4,Machine,WATER,1000,800
Element Soldier,Effect Monster,4,Fiend,DARK,1500,1200
Synkron Resonator,Tuner Monster,1,Fiend,DARK,100,100
Volcanic Shell,Effect Monster,1,Pyro,FIRE,100,0
Destiny HERO - Malicious,Effect Monster,6,Warrior,DARK,800,800
Fairy King Truesdale,Effect Monster,6,Plant,WATER,2200,1500
Rose Witch,Effect Monster,4,Plant,EARTH,1600,1000
Machine King,Effect Monster,6,Machine,EARTH,2200,2000
Batteryman AA,Effect Monster,3,Thunder,LIGHT,0,0
Extra Veiler,Effect Monster,2,Spellcaster,LIGHT,600,200
Prediction Princess Petalelf,Flip Effect Monster,3,Fairy,EARTH,800,700
Laval Burner,Effect Monster,5,Pyro,FIRE,2100,1000
Mental Seeker,Tuner Monster,3,Psychic,EARTH,800,600
Calcab Malebranche of the Burning Abyss,Effect Monster,3,Fiend,DARK,1400,0
Cyber Angel Benten,Ritual Effect Monster,6,Fairy,LIGHT,1800,1500
Shadow Ghoul,Effect Monster,5,Zombie,DARK,1600,1300
Kozmo Soartroopers,Effect Monster,3,Psychic,DARK,1000,1000
Enraged Battle Ox,Effect Monster,4,Beast-Warrior,EARTH,1700,1000
Skull Knight 2,Effect Monster,3,Fiend,DARK,1000,1200
Candle of Fate,Normal Monster,2,Fiend,DARK,600,600
Cyber Blader,Fusion Monster,7,Warrior,EARTH,2100,800
Elemental HERO The Shining,Fusion Monster,8,Warrior,LIGHT,2600,2100
Tatsunoko,Synchro Tuner Monster,3,Wyrm,WATER,1700,500
Deskbot 009,Effect Monster,9,Machine,EARTH,500,500
Aria the Melodious Diva,Effect Monster,4,Fairy,LIGHT,1600,1200
Cyber Commander,Normal Monster,2,Machine,DARK,750,700
Absolute Crusader,Effect Monster,4,Warrior,EARTH,1800,1200
Gravekeeper s Shaman,Effect Monster,6,Spellcaster,DARK,1500,1500
Vylon Omega,Synchro Monster,10,Fairy,LIGHT,3200,1900
Endless Decay,Effect Monster,5,Zombie,DARK,0,0
Fiend s Mirror,Ritual Monster,6,Fiend,DARK,2100,1800
Armored Zombie,Normal Monster,3,Zombie,DARK,1500,0
Chiron the Mage,Effect Monster,4,Beast-Warrior,EARTH,1800,1000
Magna-Slash Dragon,Effect Monster,6,Dragon,LIGHT,2400,1200
Gaia the Polar Knight,Effect Monster,4,Warrior,DARK,1600,1200
Vylon Pentachloro,Union Effect Monster,4,Machine,LIGHT,500,400
M-Warrior 1,Normal Monster,3,Warrior,EARTH,1000,500
Superheavy Samurai General Jade,Pendulum Effect Monster,8,Machine,EARTH,1800,2800
Octoberser,Normal Monster,5,Aqua,WATER,1600,1400
Chaosrider Gustaph,Effect Monster,4,Warrior,WIND,1400,1500
Ritual Beast Ulti-Pettlephin,Fusion Monster,6,Aqua,WIND,200,2800
Dragon Master Knight,Fusion Monster,12,Dragon,LIGHT,5000,5000
Dunames Dark Witch,Normal Monster,4,Fairy,LIGHT,1800,1050
Aquaactress Tetra,Effect Monster,1,Aqua,WATER,300,300
Yellow Duston,Effect Monster,1,Fiend,EARTH,0,1000
Drill Synchron,Tuner Monster,3,Machine,EARTH,800,300
Masked Chameleon,Tuner Monster,4,Reptile,EARTH,1600,1100
Dark Gray,Normal Monster,3,Beast,EARTH,800,900
Evoltile Lagosucho,Effect Monster,3,Reptile,FIRE,1200,500
Hade-Hane,Flip Effect Monster,5,Beast,EARTH,900,1000
Twin Photon Lizard,Fusion Monster,6,Dragon,LIGHT,2400,1000
Earthquake Giant,Effect Monster,5,Rock,EARTH,1600,2100
Mystery Hand,Normal Monster,2,Fiend,DARK,500,500
Blue-Eyes Shining Dragon,Effect Monster,10,Dragon,LIGHT,3000,2500
LaLa Li-Oon,Normal Monster,2,Thunder,WIND,600,600
Chu-Ske the Mouse Fighter,Normal Monster,3,Beast,EARTH,1200,0
CXyz Comics Hero Legend Arthur,XYZ Monster,5,Warrior,EARTH,3000,2400
Underworld Fighter Balmung,Synchro Monster,4,Warrior,DARK,2100,800
Raidraptor - Booster Strix,Effect Monster,4,Winged Beast,DARK,100,1700
Malacoda Netherlord of the Burning Abyss,Ritual Effect Monster,6,Fiend,DARK,2700,2200
Ghostrick Stein,Effect Monster,3,Zombie,DARK,1600,0
Morphtronic Boarden,Effect Monster,3,Machine,EARTH,500,1800
Spirit of the Pot of Greed,Effect Monster,1,Fairy,LIGHT,100,100
Flame Viper,Normal Monster,2,Pyro,EARTH,400,450
Snakeyashi,Normal Monster,4,Plant,EARTH,1000,1200
Great Phantom Thief,Effect Monster,3,Spellcaster,EARTH,1000,1000
Lord Poison,Effect Monster,4,Plant,WATER,1500,1000
Superheavy Samurai Big Waraji,Effect Monster,5,Machine,EARTH,800,1800
Madolche Anjelly,Effect Monster,4,Fairy,EARTH,1000,1000
Shreddder,Effect Monster,4,Machine,EARTH,1600,1000
Mist Bird Clausolas,Synchro Monster,3,Winged Beast,WIND,0,2300
The Masked Beast,Ritual Monster,8,Fiend,DARK,3200,1800
Performapal Fireflux,Pendulum Effect Monster,4,Insect,LIGHT,1200,1600
Bunilla,Normal Monster,1,Beast,EARTH,150,2050
Armaill,Normal Monster,3,Warrior,EARTH,700,1300
Felis Lightsworn Archer,Tuner Monster,4,Beast-Warrior,LIGHT,1100,2000
Dark Paladin,Fusion Monster,8,Spellcaster,DARK,2900,2400
Ancient Gear Beast,Effect Monster,6,Machine,EARTH,2000,2000
Skull Knight,Fusion Monster,7,Spellcaster,DARK,2650,2250
Peten the Dark Clown,Effect Monster,3,Spellcaster,DARK,500,1200
Gwenhwyfar Queen of Noble Arms,Effect Monster,2,Spellcaster,LIGHT,300,300
Elemental HERO Rampart Blaster,Fusion Monster,6,Warrior,EARTH,2000,2500
Air Armor Ninja,Effect Monster,4,Warrior,WIND,1400,1400
Hyozanryu,Normal Monster,7,Dragon,LIGHT,2100,2800
Rodenut,Effect Monster,1,Beast,EARTH,100,100
Malice Ascendant,Effect Monster,4,Zombie,DARK,700,1000
Blood Mefist,Synchro Monster,8,Fiend,DARK,2800,1300
Libic Malebranche of the Burning Abyss,Effect Monster,3,Fiend,DARK,1300,700
Rhaimundos of the Red Sword,Normal Monster,4,Warrior,EARTH,1200,1300
Cyber Dragon Infinity,XYZ Monster,6,Machine,LIGHT,2100,1600
Kuriboh,Effect Monster,1,Fiend,DARK,300,200
Slot Machine,Normal Monster,7,Machine,DARK,2000,2300
Mon Larvas,Normal Monster,4,Beast,EARTH,1300,1400
Flamvell Guard,Normal Tuner Monster,1,Dragon,FIRE,100,2000
Ghostrick Warwolf,Effect Monster,3,Zombie,DARK,1400,1500
Mystic Swordsman LV2,Effect Monster,2,Warrior,EARTH,900,0
Igknight Champion,Effect Monster,8,Warrior,FIRE,2800,2300
Iron Chain Dragon,Synchro Monster,6,Dragon,EARTH,2500,1300
Speedroid Double Yoyo,Effect Monster,4,Machine,WIND,1400,1400
Gameciel the Sea Turtle Kaiju,Effect Monster,8,Aqua,WATER,2200,3000
Rider of the Storm Winds,Tuner Monster,1,Dragon,LIGHT,500,200
Graydle Alligator,Effect Monster,3,Aqua,WATER,500,1500
Yazi Evil of the Yang Zing,Synchro Monster,7,Wyrm,DARK,2600,2100
Darklord Amdusc,Effect Monster,6,Fairy,DARK,1800,2800
Snapdragon,Effect Monster,2,Plant,EARTH,300,100
Wattsquirrel,Effect Monster,3,Thunder,LIGHT,700,100
Sorcerer of Dark Magic,Effect Monster,9,Spellcaster,DARK,3200,2800
Metalfoes Orichalc,Fusion Monster,8,Psychic,FIRE,2800,2200
Symphonic Warrior Guitaar,Pendulum Effect Monster,3,Machine,WIND,1500,100
Dark Lucius LV8,Effect Monster,8,Fiend,EARTH,2800,900
Soul-Absorbing Bone Tower,Effect Monster,3,Zombie,DARK,400,1500
Aegaion the Sea Castrum,XYZ Monster,8,Machine,WATER,0,3000
Ally of Justice Nullfier,Effect Monster,4,Machine,DARK,1600,1200
Assault Blackwing - Sayo the Rain Hider,Synchro Monster,2,Winged Beast,DARK,800,100
Heroic Champion - Gandiva,XYZ Monster,4,Warrior,EARTH,2100,1800
Magician s Robe,Effect Monster,2,Spellcaster,DARK,700,2000
Queen of Thorns,Synchro Monster,6,Plant,LIGHT,2200,1800
Axe Raider,Normal Monster,4,Warrior,EARTH,1700,1150
Dark Bug,Effect Monster,1,Insect,DARK,100,100
Superheavy Samurai Trumpeter,Tuner Monster,2,Machine,EARTH,300,600
Thunder Unicorn,Synchro Monster,5,Beast,LIGHT,2200,1800
Backup Warrior,Effect Monster,5,Warrior,EARTH,2100,0
Phantom Gryphon,Normal Monster,4,Winged Beast,WIND,2000,0
Fenghuang,Spirit Monster,6,Winged Beast,FIRE,2100,1800
Jellyfish,Normal Monster,4,Aqua,WATER,1200,1500
Balloon Lizard,Effect Monster,4,Reptile,EARTH,500,1900
Gishki Diviner,Effect Monster,3,Sea Serpent,WATER,1200,800
Performapal Bowhopper,Effect Monster,4,Insect,EARTH,1500,1000
XY-Dragon Cannon,Fusion Monster,6,Machine,LIGHT,2200,1900
Blackwing - Ghibli the Searing Wind,Effect Monster,3,Winged Beast,DARK,0,1600
Armed Protector Dragon,Effect Monster,8,Dragon,LIGHT,2000,2800
Super Vehicroid Jumbo Drill,Fusion Monster,8,Machine,EARTH,3000,2000
Battlin  Boxer Counterpunch,Effect Monster,3,Warrior,FIRE,0,1100
Soitsu,Normal Monster,3,Fairy,WIND,0,0
Naturia Beans,Effect Monster,2,Plant,EARTH,100,1200
Chaos Ancient Gear Giant,Fusion Monster,10,Machine,DARK,4500,3000
Explosive Magician,Synchro Monster,6,Spellcaster,LIGHT,2500,1800
Master of the Flaming Dragonswords,Effect Monster,4,Warrior,FIRE,1800,1200
Fabled Soulkius,Effect Monster,6,Fiend,LIGHT,2200,2100
Performance of Sword,Ritual Monster,6,Warrior,EARTH,1950,1850
Yormungarde,Normal Monster,3,Reptile,EARTH,1200,900
Igknight Paladin,Pendulum Normal Monster,4,Warrior,FIRE,1400,1900
Gravekeeper s Curse,Effect Monster,3,Spellcaster,DARK,800,800
Kozmo Dark Destroyer,Effect Monster,8,Machine,DARK,3000,1800
